Area,Site (MPA/ REF),Common Name,Month,Length (cm),Depth Released (ft),Year
PL,REF,Blue Rockfish,August,28,78,2007
PL,REF,Blue Rockfish,August,30,78,2007
PL,REF,Blue Rockfish,August,28,78,2007
PL,REF,Blue Rockfish,August,32,85,2007
PL,REF,Blue Rockfish,August,27,85,2007
PL,REF,Blue Rockfish,August,20,85,2007
PL,REF,Blue Rockfish,August,29,85,2007
PL,REF,Blue Rockfish,August,29,85,2007
PL,REF,Blue Rockfish,August,25,85,2007
PL,REF,Blue Rockfish,August,23,85,2007
PL,REF,Blue Rockfish,August,30,85,2007
PL,REF,Blue Rockfish,August,27,85,2007
PL,REF,Blue Rockfish,August,23,85,2007
PL,REF,Blue Rockfish,August,23,85,2007
PL,REF,Blue Rockfish,August,22,85,2007
PL,REF,Blue Rockfish,August,26,85,2007
PL,REF,Blue Rockfish,August,24,85,2007
PL,REF,Blue Rockfish,August,23,85,2007
PL,REF,Blue Rockfish,August,29,85,2007
PL,REF,Blue Rockfish,August,34,85,2007
PL,REF,Blue Rockfish,August,27,85,2007
PL,REF,Blue Rockfish,August,27,85,2007
PL,REF,Blue Rockfish,August,33,85,2007
PL,REF,Blue Rockfish,August,23,85,2007
PL,REF,Blue Rockfish,August,31,85,2007
PL,REF,Blue Rockfish,August,23,85,2007
PL,REF,Blue Rockfish,August,30,85,2007
PL,REF,Blue Rockfish,August,34,85,2007
PL,REF,Blue Rockfish,August,32,85,2007
PL,REF,Blue Rockfish,August,28,85,2007
PL,REF,Blue Rockfish,July,27,84,2008
PL,REF,Blue Rockfish,July,23,84,2008
PL,REF,Blue Rockfish,July,24,84,2008
PL,REF,Blue Rockfish,July,25,70,2008
PL,REF,Blue Rockfish,July,24,70,2008
PL,REF,Blue Rockfish,July,24,70,2008
PL,REF,Blue Rockfish,July,20,70,2008
PL,REF,Blue Rockfish,July,25,70,2008
PL,REF,Blue Rockfish,July,36,70,2008
PL,REF,Blue Rockfish,July,25,70,2008
PL,REF,Blue Rockfish,July,27,70,2008
PL,REF,Blue Rockfish,July,23,90,2008
PL,REF,Blue Rockfish,July,21,77,2008
PL,REF,Blue Rockfish,July,20,77,2008
PL,REF,Blue Rockfish,July,30,77,2008
PL,REF,Blue Rockfish,July,32,77,2008
PL,REF,Blue Rockfish,July,33,96,2008
PL,REF,Blue Rockfish,July,21,96,2008
PL,REF,Blue Rockfish,July,22,96,2008
PL,REF,Blue Rockfish,July,28,96,2008
PL,REF,Blue Rockfish,July,21,88,2008
PL,REF,Blue Rockfish,July,31,100,2008
PL,REF,Blue Rockfish,July,24,100,2008
PL,REF,Blue Rockfish,July,27,100,2008
PL,REF,Blue Rockfish,July,22,100,2008
PL,REF,Blue Rockfish,July,31,100,2008
PL,REF,Blue Rockfish,July,33,90,2008
PL,REF,Blue Rockfish,July,29,90,2008
PL,REF,Blue Rockfish,July,24,90,2008
PL,REF,Blue Rockfish,July,21,90,2008
PL,REF,Blue Rockfish,July,34,90,2008
PL,REF,Blue Rockfish,July,23,90,2008
PL,REF,Blue Rockfish,July,24,90,2008
PL,REF,Blue Rockfish,July,30,90,2008
PL,REF,Blue Rockfish,July,34,90,2008
PL,REF,Blue Rockfish,July,27,90,2008
PL,REF,Blue Rockfish,July,24,90,2008
PL,REF,Blue Rockfish,July,23,90,2008
PL,REF,Blue Rockfish,July,28,100,2008
PL,REF,Blue Rockfish,July,22,100,2008
PL,REF,Blue Rockfish,July,20,111,2008
PL,REF,Blue Rockfish,July,23,100,2008
PL,REF,Blue Rockfish,July,23,100,2008
PL,REF,Blue Rockfish,July,24,100,2008
PL,REF,Blue Rockfish,July,20,100,2008
PL,REF,Blue Rockfish,July,21,100,2008
PL,REF,Blue Rockfish,July,19,116,2008
PL,REF,Blue Rockfish,July,30,116,2008
PL,REF,Blue Rockfish,July,32,116,2008
PL,REF,Blue Rockfish,July,19,116,2008
PL,REF,Blue Rockfish,July,35,85,2008
PL,REF,Blue Rockfish,July,26,85,2008
PL,REF,Blue Rockfish,July,32,69,2008
PL,REF,Blue Rockfish,July,28,52,2008
PL,REF,Blue Rockfish,July,26,52,2008
PL,REF,Blue Rockfish,July,23,100,2009
PL,REF,Blue Rockfish,July,21,100,2009
PL,REF,Blue Rockfish,July,26,100,2009
PL,REF,Blue Rockfish,July,25,107,2009
PL,REF,Blue Rockfish,July,24,107,2009
PL,REF,Blue Rockfish,July,24,107,2009
PL,REF,Blue Rockfish,July,25,107,2009
PL,REF,Blue Rockfish,July,24,117,2009
PL,REF,Blue Rockfish,July,23,117,2009
PL,REF,Blue Rockfish,July,23,117,2009
PL,REF,Blue Rockfish,July,25,100,2009
PL,REF,Blue Rockfish,July,25,100,2009
PL,REF,Blue Rockfish,July,33,85,2009
PL,REF,Blue Rockfish,July,24,85,2009
PL,REF,Blue Rockfish,July,27,85,2009
PL,REF,Blue Rockfish,July,21,85,2009
PL,REF,Blue Rockfish,July,27,80,2009
PL,REF,Blue Rockfish,July,23,118,2009
PL,REF,Blue Rockfish,July,27,111,2009
PL,REF,Blue Rockfish,July,24,100,2009
PL,REF,Blue Rockfish,July,25,100,2009
PL,REF,Blue Rockfish,July,24,100,2009
PL,REF,Blue Rockfish,July,24,100,2009
PL,REF,Blue Rockfish,July,25,90,2009
PL,REF,Blue Rockfish,July,29,85,2009
PL,REF,Blue Rockfish,July,20,85,2009
PL,REF,Blue Rockfish,July,23,110,2009
PL,REF,Blue Rockfish,July,25,110,2009
PL,REF,Blue Rockfish,August,27,80,2010
PL,REF,Blue Rockfish,August,29,80,2010
PL,REF,Blue Rockfish,August,26,99,2010
PL,REF,Blue Rockfish,August,30,85,2010
PL,REF,Blue Rockfish,August,27,85,2010
PL,REF,Blue Rockfish,August,23,99,2010
PL,REF,Blue Rockfish,August,20,125,2011
PL,REF,Blue Rockfish,August,22,100,2012
PL,REF,Blue Rockfish,August,25,100,2012
PL,REF,Blue Rockfish,August,36,83,2012
PL,REF,Blue Rockfish,August,25,83,2012
PL,REF,Blue Rockfish,August,35,92,2012
PL,REF,Blue Rockfish,August,23,70,2012
PL,REF,Blue Rockfish,August,25,45,2012
PL,REF,Blue Rockfish,August,32,80,2012
PL,REF,Blue Rockfish,August,22,80,2012
PL,REF,Blue Rockfish,August,24,80,2012
PL,REF,Blue Rockfish,August,25,105,2012
PL,REF,Blue Rockfish,August,32,83,2012
PL,REF,Blue Rockfish,August,30,83,2012
PL,MPA,Blue Rockfish,August,31,93,2007
PL,MPA,Blue Rockfish,August,26,93,2007
PL,MPA,Blue Rockfish,August,27,93,2007
PL,MPA,Blue Rockfish,August,19,93,2007
PL,MPA,Blue Rockfish,August,29,93,2007
PL,MPA,Blue Rockfish,August,22,101,2007
PL,MPA,Blue Rockfish,August,34,101,2007
PL,MPA,Blue Rockfish,August,30,101,2007
PL,MPA,Blue Rockfish,August,30,101,2007
PL,MPA,Blue Rockfish,August,30,101,2007
PL,MPA,Blue Rockfish,August,29,101,2007
PL,MPA,Blue Rockfish,August,35,101,2007
PL,MPA,Blue Rockfish,August,29,101,2007
PL,MPA,Blue Rockfish,August,28,101,2007
PL,MPA,Blue Rockfish,August,34,101,2007
PL,MPA,Blue Rockfish,August,26,101,2007
PL,MPA,Blue Rockfish,August,31,101,2007
PL,MPA,Blue Rockfish,August,34,90,2007
PL,MPA,Blue Rockfish,August,33,90,2007
PL,MPA,Blue Rockfish,August,28,90,2007
PL,MPA,Blue Rockfish,August,29,85,2007
PL,MPA,Blue Rockfish,August,32,85,2007
PL,MPA,Blue Rockfish,August,30,85,2007
PL,MPA,Blue Rockfish,August,35,85,2007
PL,MPA,Blue Rockfish,August,32,85,2007
PL,MPA,Blue Rockfish,August,32,85,2007
PL,MPA,Blue Rockfish,August,32,85,2007
PL,MPA,Blue Rockfish,August,30,85,2007
PL,MPA,Blue Rockfish,August,30,85,2007
PL,MPA,Blue Rockfish,August,30,85,2007
PL,MPA,Blue Rockfish,August,29,85,2007
PL,MPA,Blue Rockfish,August,33,85,2007
PL,MPA,Blue Rockfish,August,33,85,2007
PL,MPA,Blue Rockfish,August,29,85,2007
PL,MPA,Blue Rockfish,August,22,85,2007
PL,MPA,Blue Rockfish,August,31,85,2007
PL,MPA,Blue Rockfish,August,25,85,2007
PL,MPA,Blue Rockfish,August,30,85,2007
PL,MPA,Blue Rockfish,August,31,85,2007
PL,MPA,Blue Rockfish,August,15,75,2007
PL,MPA,Blue Rockfish,August,17,81,2007
PL,MPA,Blue Rockfish,August,35,81,2007
PL,MPA,Blue Rockfish,August,20,81,2007
PL,MPA,Blue Rockfish,August,26,81,2007
PL,MPA,Blue Rockfish,August,16,81,2007
PL,MPA,Blue Rockfish,August,20,81,2007
PL,MPA,Blue Rockfish,August,21,81,2007
PL,MPA,Blue Rockfish,August,25,81,2007
PL,MPA,Blue Rockfish,August,23,100,2007
PL,MPA,Blue Rockfish,August,32,100,2007
PL,MPA,Blue Rockfish,August,32,100,2007
PL,MPA,Blue Rockfish,August,34,100,2007
PL,MPA,Blue Rockfish,August,22,100,2007
PL,MPA,Blue Rockfish,August,32,100,2007
PL,MPA,Blue Rockfish,August,31,100,2007
PL,MPA,Blue Rockfish,August,34,100,2007
PL,MPA,Blue Rockfish,August,33,100,2007
PL,MPA,Blue Rockfish,August,26,100,2007
PL,MPA,Blue Rockfish,August,18,100,2007
PL,MPA,Blue Rockfish,August,33,100,2007
PL,MPA,Blue Rockfish,August,29,90,2007
PL,MPA,Blue Rockfish,August,30,90,2007
PL,MPA,Blue Rockfish,August,34,90,2007
PL,MPA,Blue Rockfish,August,32,90,2007
PL,MPA,Blue Rockfish,August,36,90,2007
PL,MPA,Blue Rockfish,August,28,90,2007
PL,MPA,Blue Rockfish,August,34,90,2007
PL,MPA,Blue Rockfish,August,36,90,2007
PL,MPA,Blue Rockfish,August,32,90,2007
PL,MPA,Blue Rockfish,August,32,90,2007
PL,MPA,Blue Rockfish,August,25,90,2007
PL,MPA,Blue Rockfish,August,31,90,2007
PL,MPA,Blue Rockfish,August,35,90,2007
PL,MPA,Blue Rockfish,August,33,90,2007
PL,MPA,Blue Rockfish,August,29,90,2007
PL,MPA,Blue Rockfish,August,33,90,2007
PL,MPA,Blue Rockfish,August,26,90,2007
PL,MPA,Blue Rockfish,August,33,90,2007
PL,MPA,Blue Rockfish,August,29,90,2007
PL,MPA,Blue Rockfish,August,27,90,2007
PL,MPA,Blue Rockfish,August,34,90,2007
PL,MPA,Blue Rockfish,August,31,72,2007
PL,MPA,Blue Rockfish,August,30,72,2007
PL,MPA,Blue Rockfish,August,31,72,2007
PL,MPA,Blue Rockfish,August,30,72,2007
PL,MPA,Blue Rockfish,August,32,72,2007
PL,MPA,Blue Rockfish,August,32,72,2007
PL,MPA,Blue Rockfish,August,28,72,2007
PL,MPA,Blue Rockfish,August,33,72,2007
PL,MPA,Blue Rockfish,August,27,72,2007
PL,MPA,Blue Rockfish,August,30,72,2007
PL,MPA,Blue Rockfish,August,24,72,2007
PL,MPA,Blue Rockfish,August,33,72,2007
PL,MPA,Blue Rockfish,August,29,72,2007
PL,MPA,Blue Rockfish,August,29,72,2007
PL,MPA,Blue Rockfish,August,30,72,2007
PL,MPA,Blue Rockfish,August,35,72,2007
PL,MPA,Blue Rockfish,August,33,72,2007
PL,MPA,Blue Rockfish,August,35,72,2007
PL,MPA,Blue Rockfish,August,30,72,2007
PL,MPA,Blue Rockfish,August,31,72,2007
PL,MPA,Blue Rockfish,August,27,72,2007
PL,MPA,Blue Rockfish,August,35,72,2007
PL,MPA,Blue Rockfish,August,33,72,2007
PL,MPA,Blue Rockfish,August,30,72,2007
PL,MPA,Blue Rockfish,August,20,72,2007
PL,MPA,Blue Rockfish,August,32,72,2007
PL,MPA,Blue Rockfish,August,31,72,2007
PL,MPA,Blue Rockfish,August,31,72,2007
PL,MPA,Blue Rockfish,August,33,72,2007
PL,MPA,Blue Rockfish,August,30,60,2007
PL,MPA,Blue Rockfish,August,35,60,2007
PL,MPA,Blue Rockfish,August,30,60,2007
PL,MPA,Blue Rockfish,August,31,60,2007
PL,MPA,Blue Rockfish,August,34,60,2007
PL,MPA,Blue Rockfish,August,27,60,2007
PL,MPA,Blue Rockfish,August,29,60,2007
PL,MPA,Blue Rockfish,August,33,60,2007
PL,MPA,Blue Rockfish,August,30,60,2007
PL,MPA,Blue Rockfish,August,32,60,2007
PL,MPA,Blue Rockfish,August,32,60,2007
PL,MPA,Blue Rockfish,August,30,60,2007
PL,MPA,Blue Rockfish,August,30,60,2007
PL,MPA,Blue Rockfish,August,24,60,2007
PL,MPA,Blue Rockfish,August,34,60,2007
PL,MPA,Blue Rockfish,August,27,60,2007
PL,MPA,Blue Rockfish,August,28,60,2007
PL,MPA,Blue Rockfish,August,34,60,2007
PL,MPA,Blue Rockfish,August,18,60,2007
PL,MPA,Blue Rockfish,August,35,60,2007
PL,MPA,Blue Rockfish,August,23,60,2007
PL,MPA,Blue Rockfish,August,30,60,2007
PL,MPA,Blue Rockfish,August,32,60,2007
PL,MPA,Blue Rockfish,August,24,60,2007
PL,MPA,Blue Rockfish,August,28,60,2007
PL,MPA,Blue Rockfish,August,25,60,2007
PL,MPA,Blue Rockfish,August,31,95,2007
PL,MPA,Blue Rockfish,August,28,95,2007
PL,MPA,Blue Rockfish,August,31,95,2007
PL,MPA,Blue Rockfish,August,17,95,2007
PL,MPA,Blue Rockfish,August,29,95,2007
PL,MPA,Blue Rockfish,August,29,95,2007
PL,MPA,Blue Rockfish,August,31,95,2007
PL,MPA,Blue Rockfish,August,35,95,2007
PL,MPA,Blue Rockfish,August,30,95,2007
PL,MPA,Blue Rockfish,August,34,95,2007
PL,MPA,Blue Rockfish,August,33,95,2007
PL,MPA,Blue Rockfish,August,34,95,2007
PL,MPA,Blue Rockfish,August,28,95,2007
PL,MPA,Blue Rockfish,August,30,95,2007
PL,MPA,Blue Rockfish,August,32,95,2007
PL,MPA,Blue Rockfish,August,32,95,2007
PL,MPA,Blue Rockfish,August,26,95,2007
PL,MPA,Blue Rockfish,August,26,95,2007
PL,MPA,Blue Rockfish,August,27,95,2007
PL,MPA,Blue Rockfish,August,29,95,2007
PL,MPA,Blue Rockfish,August,32,95,2007
PL,MPA,Blue Rockfish,August,36,95,2007
PL,MPA,Blue Rockfish,August,34,40,2007
PL,MPA,Blue Rockfish,August,32,40,2007
PL,MPA,Blue Rockfish,August,35,40,2007
PL,MPA,Blue Rockfish,August,28,40,2007
PL,MPA,Blue Rockfish,August,16,40,2007
PL,MPA,Blue Rockfish,August,27,40,2007
PL,MPA,Blue Rockfish,August,33,40,2007
PL,MPA,Blue Rockfish,August,24,40,2007
PL,MPA,Blue Rockfish,August,26,40,2007
PL,MPA,Blue Rockfish,August,29,40,2007
PL,MPA,Blue Rockfish,August,32,40,2007
PL,MPA,Blue Rockfish,August,27,40,2007
PL,MPA,Blue Rockfish,August,34,40,2007
PL,MPA,Blue Rockfish,August,27,40,2007
PL,MPA,Blue Rockfish,August,33,40,2007
PL,MPA,Blue Rockfish,August,35,40,2007
PL,MPA,Blue Rockfish,August,35,40,2007
PL,MPA,Blue Rockfish,August,28,40,2007
PL,MPA,Blue Rockfish,August,31,40,2007
PL,MPA,Blue Rockfish,August,27,40,2007
PL,MPA,Blue Rockfish,August,28,40,2007
PL,MPA,Blue Rockfish,August,29,40,2007
PL,MPA,Blue Rockfish,August,27,40,2007
PL,MPA,Blue Rockfish,August,32,40,2007
PL,MPA,Blue Rockfish,August,28,40,2007
PL,MPA,Blue Rockfish,August,29,40,2007
PL,MPA,Blue Rockfish,August,29,40,2007
PL,MPA,Blue Rockfish,August,31,75,2007
PL,MPA,Blue Rockfish,August,30,67,2007
PL,MPA,Blue Rockfish,August,30,67,2007
PL,MPA,Blue Rockfish,August,30,67,2007
PL,MPA,Blue Rockfish,August,32,67,2007
PL,MPA,Blue Rockfish,August,33,67,2007
PL,MPA,Blue Rockfish,August,36,67,2007
PL,MPA,Blue Rockfish,August,32,67,2007
PL,MPA,Blue Rockfish,August,28,67,2007
PL,MPA,Blue Rockfish,August,28,67,2007
PL,MPA,Blue Rockfish,August,33,67,2007
PL,MPA,Blue Rockfish,August,28,67,2007
PL,MPA,Blue Rockfish,August,34,67,2007
PL,MPA,Blue Rockfish,August,31,67,2007
