Month,Year,Site,Distance,Rect
February,2007,E1,6,0
February,2007,E2,8,0
February,2007,E3,12,0
February,2007,E4,16,0
February,2007,W1,6,0
February,2007,W2,8,0
February,2007,W3,12,0
February,2007,W4,16,0
May,2007,E1,6,0
May,2007,E2,8,0
May,2007,E3,12,0
May,2007,E4,16,0
May,2007,W1,6,0
May,2007,W2,8,0
May,2007,W3,12,0
May,2007,W4,16,0
July,2007,E1,6,0
July,2007,E2,8,0
July,2007,E3,12,0
July,2007,E4,16,0
July,2007,W1,6,0
July,2007,W2,8,0
July,2007,W3,12,0
July,2007,W4,16,0
October,2007,E1,6,3
October,2007,E1,6,0
October,2007,E1,6,2
October,2007,E1,6,1
October,2007,E1,6,2
October,2007,E1,6,1
October,2007,E2,8,3
October,2007,E2,8,2
October,2007,E2,8,22
October,2007,E2,8,15
October,2007,E2,8,1
October,2007,E2,8,10
October,2007,E3,12,21
October,2007,E3,12,17
October,2007,E3,12,64
October,2007,E3,12,12
October,2007,E3,12,6
October,2007,E3,12,23
October,2007,E3,12,11
October,2007,E3,12,6
October,2007,E4,16,0
October,2007,W1,6,0
October,2007,W1,6,2
October,2007,W1,6,3
October,2007,W2,8,1
October,2007,W3,12,10
October,2007,W3,12,2
October,2007,W3,12,16
October,2007,W3,12,0
October,2007,W3,12,1
October,2007,W4,16,47
October,2007,W4,16,3
October,2007,W4,16,0
October,2007,W4,16,16
