year,distance,avg rec/tile,stdev
2003,6,0,0
2003,8,0,0
2003,12,0,0
2003,16,0,0
2004,6,0,0
2004,8,0,0
2004,12,0,0
2004,16,0,0
2005,6,0,0
2005,8,0,0
2005,12,0,0
2005,16,0,0
2006,6,0,0
2006,8,0.75,0.35
2006,12,0,0
2006,16,1.23,1.09
2007,6,0.78,0.57
2007,8,3.85,4.12
2007,12,7.27,8.3
2007,16,6.6,10
2008,6,0.25,0.330470159
2008,8,1.15,1.004594707
2008,12,3.25,2.07142209
2008,16,17.95,9.688435863
